,company_name,location,job_title,job_description,salary_estimate,other_details,rating
277,Boston Consulting Group,Gurgaon,"Solution Analyst/Senior Solution Analyst, Implementation, India - X Delivery","Implementing and customizing our software solutions for client projects. This is a client-facing, execution focused position and the successful candidate will……
Skills: Power BI, Azure, Customer service, C#, Spark",₹8L (Glassdoor Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
278,Boston Consulting Group,Bengaluru,"Senior Software Engineer, Client Ops - X Delivery","Optimizing components for maximum performance across a vast array of web-capable devices and browsers. You will report to the Solution Delivery Manager - X……
Skills: Microsoft Powerpoint, Azure, Node.js, React, Big data",₹7L - ₹9L (Glassdoor Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
279,BlackRock Investments,Gurgaon,Aladdin Financial Engineering Data Scientist Associate,"Aladdin Financial Engineering Data Scientist Associate Location: Gurgaon, Haryana Category: Data Science Job Requisition #: R244676 Date posted: Aug. 19,……
Skills: Data science",₹4L (Employer Est.),"Size
10000+ Employees
Founded
1988
Type
Company - Public
Industry
Investment & Asset Management
Sector
Finance
Revenue
$10+ billion (USD)",3.9
280,Boston Consulting Group,Delhi,Global IT Data Engineer Senior Specialist,"Bachelor's degree in information science, data management, computer science or related field preferred. You are good at analyzing performance bottlenecks and……
Skills: Jira, Computer science, Data modeling, Azure, Oracle",₹20T (Employer Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
281,McKinsey & Company,Gurgaon,Research Science Analyst - Performance Lens,"You will conduct detailed secondary research on industry structure and dynamics including gathering and triangulating data/information from industry reports,……
Skills: English, Research, Analysis skills, Data management",₹7L - ₹9L (Glassdoor Est.),"Size
1001 to 5000 Employees
Founded
2009
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
Unknown / Non-Applicable",3.9
282,Tata Technologies,Bengaluru,Junior MACHINE LEARNING ENGINEER,"Experience level : 3- 5 Years relevant experience Skillset for junior ML EngineerBachelor’s degree in Computer Science, Mathematic s, Statistics, or a related……
Skills: TensorFlow, Azure, Git, English, AWS",₹7L - ₹8L (Glassdoor Est.),"Size
10000+ Employees
Founded
1989
Type
Company - Private
Industry
Research and development
Sector
Management and consulting
Revenue
$100 to $500 million (USD)",3.8
283,S&P Global,Gurgaon,Data Scientist - ML Engineer,"In this role you will gain a strong understanding of various commodities and Commodity Insights businesses to design and implement advanced strategic solutions……
Skills: English, SQL, Machine learning, Agile, Predictive analytics",₹96T - ₹2L (Glassdoor Est.),"Size
10000+ Employees
Founded
1860
Type
Company - Public
Industry
Research and development
Sector
Management and consulting
Revenue
$10+ billion (USD)",4.1
284,Bhoruka Extrusions,India,IT Trainee/Assistant Engineer in AI/ML,"To research, modify, and apply data science and data analytics prototypes. To better comprehend data through exploration and visualization, as well as to spot……
Skills: Machine learning, Data science, AI, Communication skills",₹3L - ₹5L (Glassdoor Est.),,
285,Bain & Company Inc,Delhi,"Associate, Data Science","We are first and foremost business thought partners working on intelligent ways of using analytical techniques and algorithms across the spectrum of disciplines……
Skills: Azure, R, Git, SQL, AWS",₹4L - ₹9L (Glassdoor Est.),"Size
10000+ Employees
Founded
1973
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.3
286,Boston Consulting Group,Delhi,Incident Response - Cyber Security Manager,"Requires strong analytical skills and abilities including an extensive knowledge of software, database, operating systems, client server architecture and voice……
Skills: Operating systems, Management, Information security, Analysis skills, Incident response",₹4T - ₹5T (Employer Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
287,BridgeNext,Pune,Python/Data Science/Machine Learning,"Collaborate with data engineers, analysts, and stakeholders to understand business requirements and translate them into technical solutions.…
Skills: TensorFlow, Azure, Relational databases, Software deployment, Git",₹7L - ₹8L (Glassdoor Est.),"Size
501 to 1000 Employees
Founded
1995
Type
Company - Private
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
$100 to $500 million (USD)",4.1
288,Boston Consulting Group,Gurgaon,"Software Engineering Director, India - X Delivery","14+ years of technology and software engineering in a complex and fast-paced business environment (ideally an agile environment) with exposure to a variety of……
Skills: CI/CD, Azure, Oracle, Management, Node.js",-1,"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
289,CRISIL,Pune,Data Analyst,"Employ statistical techniques to scrutinize data and produce actionable business insights. Engage with managers from various departments to specify data……
Skills: Data analysis skills, SQL, Analysis skills, Python",-1,"Size
1001 to 5000 Employees
Founded
1987
Type
Company - Public
Industry
Research and development
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",3.8
290,Vertoz,Mumbai,Data Science Intern - Vertoz,"Collaboration: Work closely with cross-functional teams to understand business requirements and deliver data-driven solutions.…
Skills: Tableau, Databases, SQL, Analysis skills, Database management",-1,"Size
51 to 200 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",3.7
291,Amex,Gurgaon,Analyst-Data Analytics,"Flexible working model with hybrid, onsite or virtual arrangements depending on role and business need. The leader will collaborate with stakeholders across……
Skills: Microsoft Powerpoint, Data mining, CSS, Apache Hive, Microsoft Office",-1,"Size
10000+ Employees
Founded
1850
Type
Company - Public
Industry
Financial Transaction Processing
Sector
Finance
Revenue
$10+ billion (USD)",4.1
292,Caterpillar,Bengaluru,Data Engineer,"The data engineer will work with data scientists, business intelligence analysts, and others as part of a team that assembles large, complex data sets,……
Skills: Statistics, Data modeling, Azure, Data structures, Git",-1,"Size
10000+ Employees
Founded
1925
Type
Company - Public
Industry
Machinery Manufacturing
Sector
Manufacturing
Revenue
$10+ billion (USD)",4.1
293,Optum,Gurgaon,Data Scientist,"At least 3-4 years hands on experience of solving real world business problems leveraging data science tools. Proven excellent interpersonal and team skills.…
Skills: Microsoft Powerpoint, TensorFlow, Microsoft Excel, Microsoft Access, R",-1,"Size
10000+ Employees
Founded
--
Type
Company - Public
Industry
Healthcare Services & Hospitals
Sector
Healthcare
Revenue
$10+ billion (USD)",3.5
294,Amex,Gurgaon,Analyst-Data Science,"We back our colleagues and their loved ones with benefits and programs that support their holistic well-being. Excellent written, oral communication skills.…
Skills: Computer science, Big data, Apache Hive, Java, Analysis skills",-1,"Size
10000+ Employees
Founded
1850
Type
Company - Public
Industry
Financial Transaction Processing
Sector
Finance
Revenue
$10+ billion (USD)",4.1
295,Maskoid Technologies,Vadodara,Data Analytics - Fresher,"Fetch relevant companies from target industry verticals on a daily basis. Extract and compile data from primary and secondary sources to fill in missing……
Skills: Power BI, Research, Tableau, SQL, Analysis skills",-1,"Size
1 to 50 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",4.5
296,Ecozen Solutions,Pune,Data Science Intern,"Compile, verify accuracy and sort information according to priorities to prepare source data for computer entry.…
Skills: Microsoft Office, Data entry, Clerical experience, Data science",-1,"Size
201 to 500 Employees
Founded
--
Type
Company - Private
Industry
Electronics Manufacturing
Sector
Manufacturing
Revenue
Unknown / Non-Applicable",3.8
297,Thoucentric,Bengaluru,Junior Data Analyst,"Building capabilities that address a market need, basis our ongoing research efforts. Solving a specific use case for a current or potential client based on……
Skills: Data analysis skills, Apache Hive, SQL, Analysis skills, Presentation skills",-1,"Size
201 to 500 Employees
Founded
2015
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
Unknown / Non-Applicable",4.1
298,Transorg Analytics,Gurgaon,Data Science Ops Associate,"Prior experience in organizing datasets, case studies, popular problems in ML is mandatory. Pickl (TransOrg’s education brand) is looking for an operations……
Skills: Learning technology, Big data, Git, Machine learning, Deep learning",-1,"Size
51 to 200 Employees
Founded
--
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
Unknown / Non-Applicable",3.5
299,Kennametal,Bengaluru,Analyst Advanced Analytics and Data Science-India,"Collaborate with IT and business stakeholders to implement technology solutions that support commercial excellence initiatives. Pricing and Margin Analysis:…
Skills: Power BI, Microsoft Excel, Business analysis, Tableau, SQL",-1,"Size
5001 to 10000 Employees
Founded
1938
Type
Company - Public
Industry
Machinery Manufacturing
Sector
Manufacturing
Revenue
$2 to $5 billion (USD)",3.6
300,Boston Consulting Group,Delhi,Global IT Software Engineer Senior Manager,"As a valued member of our dynamic squad, you will play a crucial role in developing and implementing technical solutions across the entire spectrum of BCG’s……
Skills: CI/CD, Azure, Oracle, CSS, Bootstrap",-1,"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
301,Clarivate,Noida,Associate Data Scientist,"Participate in impactful, real-world projects at Clarivate that push the boundaries of AI and data science in IP.…
Skills: Analysis skills, Machine learning, Data science, AI, Python",-1,"Size
10000+ Employees
Founded
2016
Type
Company - Public
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
$2 to $5 billion (USD)",3.6
302,Syneos - Clinical and Corporate - Prod,Salem,Sr Solutions Architect (Data Modeler),"The Solution Architect will be responsible for designing and overseeing the implementation of complex software solutions that address our customers' business……
Skills: Data modeling, Azure, Oracle, Cloud architecture, Kubernetes",-1,"Size
10000+ Employees
Founded
--
Type
Company - Private
Industry
Biotech & Pharmaceuticals
Sector
Pharmaceutical and biotechnology
Revenue
Unknown / Non-Applicable",3.8
303,Boston Consulting Group,Delhi,Global IT Software Engineer Senior Specialist,"Provide exceptional Level 3 technical support for enterprise AI tools, working closely with internal teams and vendors to ensure smooth operations and rapid……
Skills: CI/CD, React, Kubernetes, Git, Test-driven development",-1,"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
304,Amex,Gurgaon,Analyst-Data Analytics,"Deliver read out of campaigns uncovering insights and learnings that can be utilized to further optimize the channels. Strong programming skills are preferred.…
Skills: Computer science, Big data, Spark, Apache Hive, SQL",-1,"Size
10000+ Employees
Founded
1850
Type
Company - Public
Industry
Financial Transaction Processing
Sector
Finance
Revenue
$10+ billion (USD)",4.1
305,Atlassian,Bengaluru,"Software Engineer, Data Science","You'll be responsible for the design, build and maintenance of tools that enable our Support Engineers and related teams to be more effective and efficient at……
Skills: Software deployment, Microservices, SQL, Docker, Machine learning",-1,"Size
5001 to 10000 Employees
Founded
2002
Type
Company - Public
Industry
Software Development
Sector
Information Technology
Revenue
Unknown / Non-Applicable",3.8
306,VARAISYS PRIVATE LIMITED,Noida,Data Scientist ( Freshers) BSc Hons.( Statistics),"Job type:* Full Time, Permanent. A degree in B.Sc. (Hons.) Statistics from a renowned university. Excellent verbal and written communication in English are……
Skills: Big data, R, English, SQL, Data science",-1,,
307,Boston Consulting Group,Bengaluru,"Software Engineering Senior Manager, India - X Delivery","As a part of BCG's X OPERATE team you will be working to accelerate a growing business focused on Hyper Care, premium Maintenance / Support for BCG Software and……
Skills: Azure, Management, Multilingual, Spark, PaaS",-1,"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
308,REIZEND PRIVATE LIMITED,Thiruvananthapuram,Data Science & AI ML Engineer,"Certification or experience in data analysis, data mining, and statistical modelling is an added advantage. Familiarity with Jira and Agile methodology will be……
Skills: Jira, TensorFlow, Computer science, Power BI, Data mining",-1,,
309,Wahy Lab Solutions,Cochin,Data Science Intern,"hiring Interns for Data Science , Freshers can apply Job Types: Full-time, Permanent, Fresher Schedule: * Monday to Friday Work Location: In……
Skills: Data science",-1,"Size
Unknown
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",3.5
310,Boston Consulting Group,Delhi,Global IT Infra/Cloud Engineer Senior Specialist,"Work collaboratively with application development, data protection, information security, and risk management teams to understand and implement data and cloud……
Skills: Jira, CI/CD, Azure, Customer service, DevOps",-1,"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
311,WSD Consultant,Bengaluru,Junior Data Scientist/,"candidate should qualify checklist written below: Ques: Does the candidate has strong knowledge in Data Science/ Machine Learning/ Artificial Intelligence ?……
Skills: Machine learning, Content development, Data science, Training & development, AI",-1,"Size
Unknown
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",5.0
312,IPCS Global solutions pvt ltd,India,Python & Data Science Trainer,"Excellent understanding of data visualization, data storytelling, and how to think about data problems in a business context and solving them using Machine……
Skills: Power BI, R, Tableau, Java, Machine learning",-1,,
313,AS Global Soft Tech,India,Data Science AI-Intern,"AS Global Soft Tech is currently providing an internship based on below Technolgies Datascience with AI Knowledge AS Global Soft Tech is a Design &……
Skills: iOS, Data science, AI",-1,,
314,Netomi,Gurgaon,Data Scientist - I (Prompt Engineer),"Benchmarking: Conduct benchmarking studies to compare the performance of different prompts and identify best practices.…
Skills: TensorFlow, Machine learning, Natural language processing, Data science, AI",-1,"Size
51 to 200 Employees
Founded
2015
Type
Company - Private
Industry
Software Development
Sector
Information Technology
Revenue
Unknown / Non-Applicable",4.3
315,Clarivate,Noida,Senior Healthcare Research & Data Analyst,"The role comprises three broad functions: 1) market research and insights generation; 2) project management and execution; and 3) client service.…
Skills: Project management",-1,"Size
10000+ Employees
Founded
2016
Type
Company - Public
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
$2 to $5 billion (USD)",3.6
316,Globussoft Technologies,India,Data Science,"Develop custom data models and algorithms to apply to data sets. Extending company’s data with third party sources of information when needed.…
Skills: Data mining, NoSQL, SQL, Machine learning, Deep learning",-1,"Size
201 to 500 Employees
Founded
2009
Type
Company - Private
Industry
Computer Hardware Development
Sector
Information Technology
Revenue
$5 to $25 million (USD)",4.2
317,Neural Niti Private Limited,Delhi,AI Research Intern,"Lead the research and development initiatives to innovate and refine AI technologies, ensuring alignment with industry needs.…
Skills: Laboratory experience, Machine learning, AI, Research & development, Python",-1,,
318,MSCI Inc,Bengaluru,Climate Data Analyst,"Collect data for climate datasets that includes Scope 1, 2 and 3 emissions, GHG reduction targets, TCFD data, Carbon Credits and Carbon Projects.…
Skills: Microsoft Excel, Research, Data entry, SharePoint",-1,"Size
1001 to 5000 Employees
Founded
1969
Type
Company - Public
Industry
Investment & Asset Management
Sector
Finance
Revenue
$2 to $5 billion (USD)",4.2
319,Elsevier,Gurgaon,Data Research Analyst,"Working flexible hours - flexing the times when you work in the day to help you fit everything in and work when you are the most productive.…
Skills: Research, Analysis skills, Data science, Communication skills",-1,"Size
5001 to 10000 Employees
Founded
1880
Type
Subsidiary or Business Segment
Industry
Publishing
Sector
Media and communication
Revenue
$2 to $5 billion (USD)",4.6
320,SHL,Gurgaon,Associate - Data Operations,"Employee benefits package that takes care of you and your family. As a Data Operations Associate, you will be involved in creating standardized and reliable……
Skills: Databases, SQL, Machine learning, Communication skills, Python",-1,"Size
1001 to 5000 Employees
Founded
--
Type
Company - Private
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
Unknown / Non-Applicable",3.6
321,Altair Engineering,Bengaluru,Intern – Global Academic Program – Data Science,"Ability to convey Data science, AI and its related mathematical concepts and considerations to beginners. Help with administering student access to our software……
Skills: Data mining, R, English, Machine learning, Data science",-1,"Size
1001 to 5000 Employees
Founded
1985
Type
Company - Public
Industry
Software Development
Sector
Information Technology
Revenue
$500 million to $1 billion (USD)",4.3
322,ADCI - Karnataka - A66,Bengaluru,"Data Associate II Quality, ML Data Ops","Perform data collection and curation, ultimately resulting in the generation of high-quality data that can be utilized for AI models.…
Skills: Image processing, Microsoft Excel, English, Microsoft Office, Analysis skills",-1,"Size
10000+ Employees
Founded
1994
Type
Company - Public
Industry
Internet & Web Services
Sector
Information Technology
Revenue
$10+ billion (USD)",3.7
323,Oracle,Noida,Software Developer,"As a member of the LSGIU development organization, you will contribute to a mission-critical platform that enables our customers to develop solutions that……
Skills: Oracle, Software troubleshooting",-1,"Size
10000+ Employees
Founded
1977
Type
Company - Public
Industry
Enterprise Software & Network Solutions
Sector
Information Technology
Revenue
$10+ billion (USD)",3.8
324,Schnell Technocraft,Noida,Data AI Intern,"Ability to understand the business requirements thoroughly and convert those requirements into proper technical solutions to achieve the required goals.…
Skills: Computer science, Power BI, Image processing, Tableau, SQL",-1,,
325,Wellorgs Infotech Pvt. Ltd.,Remote,AI/ML Intern,"Experience with data mining, analytics, and linked data concepts. Implement AI solutions to improve data analysis, predictive modeling, and decision-making……
Skills: TensorFlow, Data mining, Big data, R, Java",-1,,
326,MNJ Software,Remote,Data Science - Intern,"(Master) student who has successfully passed semesters of computer science, data science, artificial intelligence or studies with strong focus on IT and data……
Skills: Power BI, Azure, English, Tableau, Administrative experience",-1,"Size
1 to 50 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",3.6
327,Bijak,Gurgaon,Intern,"Currently enrolled in a bachelor's degree program in Computer Science, Information Technology, or a related field (freshers or final year students preferred).…
Skills: SQL, Analysis skills, Quality assurance, Software testing, Communication skills",-1,"Size
51 to 200 Employees
Founded
2019
Type
Company - Private
Industry
Financial Transaction Processing
Sector
Finance
Revenue
Unknown / Non-Applicable",4.2
328,Procter & Gamble,Mumbai,Internship | Data Science,"You’ll be either in the central data scientist team taking on retail and media analytics problems that are general across brands, or you’ll be in the embedded……
Skills: Big data, Spark, Git, SQL, Machine learning",-1,"Size
10000+ Employees
Founded
1837
Type
Company - Public
Industry
Consumer Product Manufacturing
Sector
Manufacturing
Revenue
$10+ billion (USD)",4.1
329,Pfizer,Chennai,"Junior Associate, Associate Statistical Data Scientist","Active self-learning and delivering on solutions in the space of statistical programming and data standards. Understanding of clinical data and drug development……
Skills: Statistics, SAS, R, Less, Communication skills",-1,"Size
Unknown
Founded
1849
Type
Company - Public
Industry
Biotech & Pharmaceuticals
Sector
Pharmaceutical and biotechnology
Revenue
$10+ billion (USD)",3.8
330,Procter & Gamble,Mumbai,Senior Manager – SAP Security Governance: Risk and Compliance Management,"The Senior Manager’s role will ensure that the SAP Security Strategy and Risk and Compliance Management frameworks are always up-to-date, new threats are……
Skills: SAP, SOX, Analysis skills, SAP S/4HANA, RMF",₹4L - ₹7L (Glassdoor Est.),"Size
10000+ Employees
Founded
1837
Type
Company - Public
Industry
Consumer Product Manufacturing
Sector
Manufacturing
Revenue
$10+ billion (USD)",4.1
331,S&P Global,Gurgaon,Apprentice – Data Analyst,"We are responsible for assuring that data impacts are evaluate, understood, and communicated across all teams so that business continuity is maintained.…
Skills: Business intelligence, Relational databases, Tableau, Databases, SQL",₹5L - ₹7L (Glassdoor Est.),"Size
10000+ Employees
Founded
1860
Type
Company - Public
Industry
Research and development
Sector
Management and consulting
Revenue
$10+ billion (USD)",4.1
332,Oracuz Infotech Pvt Ltd,Remote,Data Science Intern,"You will be assigned with module projects and tasks during the internship and on the basis of performance and availability of vacancies you will be hired.…
Skills: Web development, Machine learning, Data science",₹5T (Employer Est.),,
333,Optum,Bengaluru,Manager Data Scientist,"As an Associate Manager, you will play a critical role in driving the success of our Data Science projects, leading a team of data scientists, and delivering……
Skills: TensorFlow, Big data, SQL, Analysis skills, Machine learning",₹10L (Glassdoor Est.),,
334,ITI Data,Chennai,AWS Glue Data Engineer,"Require Financial Services industry experience. This is a high visibility, fast-paced key initiative will integrate data across internal and external sources,……
Skills: Oracle, XML, Spark, NoSQL, MongoDB",₹2L - ₹9L (Glassdoor Est.),"Size
201 to 500 Employees
Founded
1999
Type
Company - Private
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
Unknown / Non-Applicable",4.2
335,Adobe,Bengaluru,Senior Computer Scientist,"As a key member of the team you will be expected to design, build, test and deploy stable, scalable and simple solutions.…
Skills: TensorFlow, Image processing, Azure, Kubernetes, Computer vision",₹12L - ₹16L (Employer Est.),"Size
10000+ Employees
Founded
1982
Type
Company - Public
Industry
Computer Hardware Development
Sector
Information Technology
Revenue
$2 to $5 billion (USD)",4.2
336,Ananta Consulting Group,India,Software Engineer (Vadodara),"· Stay up to date on latest technology and leverage those technologies to enhance the current systems and process to make them more efficient.…
Skills: FTP, Azure, React, NFS, Web development",₹9L - ₹10L (Glassdoor Est.),,
337,S&P Global,Bengaluru,"Apprentice, Data Science","Knowledge of data science and data transformation processes. Flexible Downtime: Generous time off helps keep you energized for your time on.…
Skills: SQL, Analysis skills, Data science, Data visualization, Communication skills",₹15T - ₹20T (Employer Est.),"Size
10000+ Employees
Founded
1860
Type
Company - Public
Industry
Research and development
Sector
Management and consulting
Revenue
$10+ billion (USD)",4.1
338,Wisdom college for creativity & design,Ghaziabad,Data Science Trainee,"Acquire data from primary or secondary data sources and maintain databases/data systems. Use statistical methods to analyze data and generate useful business……
Skills: SQL, Data science, AI, Python",₹10T - ₹16T (Employer Est.),,
339,Medtek.AI,Noida,DATA SCIENCE INTERN,"Ability to work in cross-functional, multi-cultural and international clinical trial teams. Performing data manipulation, analysis, and reporting of clinical……
Skills: Statistics, Oracle, SAS, R, Tableau",₹3L - ₹10L (Glassdoor Est.),"Size
1 to 50 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",3.2
340,Lincode,Remote,Data Science Intern,"Collaborate with cross-functional teams to integrate computer vision solutions into products. Assist in the development and implementation of computer vision……
Skills: TensorFlow, Image processing, Azure, Computer vision, Google Cloud Platform",₹3L - ₹8L (Glassdoor Est.),"Size
1 to 50 Employees
Founded
2017
Type
Company - Private
Industry
Enterprise Software & Network Solutions
Sector
Information Technology
Revenue
Less than $1 million (USD)",3.2
341,Boston Consulting Group,Gurgaon,"AI Engineer, India - BCG X","1-3 years of relevant work experience in data science, machine learning, artificial intelligence, or big data. Knowledge of API frameworks Django, Flask etc.…
Skills: Azure, Big data, Spark, R, Java",₹6L - ₹9L (Glassdoor Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
342,Alignerr,Remote,"Coders - AI Training (Freelance, Remote) IN","As an AI Tutor - Coding, you'll play a critical role in shaping the future of AI. Proficiency working with any of the the following (in addition to the……
Skills: MATLAB, Rust, Go, C#, R",₹10T (Employer Est.),"Size
Unknown
Founded
--
Type
Company - Public
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",
343,Boston Consulting Group,Gurgaon,"Data Scientist, India - BCG X","As a Data Scientist at BCG, you will collaborate on challenging projects to increasing your understanding of complex business problems from diverse perspectives……
Skills: Image processing, Azure, Big data, R, Google Cloud Platform",₹4L - ₹10L (Glassdoor Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
344,Optum,Haryāna,Sr AI/ML Engineer,"Comply with the terms and conditions of the employment contract, company policies and procedures, and any and all directives (such as, but not limited to,……
Skills: Presentation skills, Machine learning, Deep learning, Natural language processing, Data science",₹10L (Glassdoor Est.),,
345,RELX,Gurgaon,Data Research Analyst,"Working flexible hours - flexing the times when you work in the day to help you fit everything in and work when you are the most productive.…
Skills: Research, Analysis skills, Data science, Communication skills",₹2L - ₹10L (Glassdoor Est.),"Size
10000+ Employees
Founded
1880
Type
Company - Public
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
$10+ billion (USD)",4.1
346,Imurgence,India,Junior Data Science Team Member,"Alternatively, an extraordinary curiosity about business and industry. Discuss, brainstorm on new modules with the senior team, write business logic with……
Skills: Statistics, Microsoft Excel, Data mining, R, SQL",₹3L - ₹9L (Glassdoor Est.),"Size
Unknown
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",4.0
347,GeoTechnosoft,Noida,Python/Data Science Intern - Patna(onsite),"Assist our data scientists with tasks like data analysis, machine learning exploration, and creating insightful reports.…
Skills: Power BI, Data structures, SQL, Machine learning, Data science",₹5L - ₹9L (Glassdoor Est.),,
348,A Plus Topper,Remote,Data Science Internship,"Support the development of data-driven solutions to optimize processes. Research and experiment with new tools and techniques in data science.…
Skills: CSS, SQL, Statistical analysis, Database management, Machine learning",₹5L - ₹10L (Glassdoor Est.),"Size
1 to 50 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",4.3
349,Nest Software Private Limited,India,Data Science AI Internship,"Assist in the design, development, and deployment of AI-driven applications and solutions. Stay updated with the latest trends and advancements in data science……
Skills: Azure, Big data, Spark, Google Cloud Platform, SQL",₹5L (Glassdoor Est.),"Size
1 to 50 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",1.9
350,Boston Consulting Group,Mumbai,Data Architect,"Keep pace with industry trends to ensure our cloud data center designs and infrastructure layer architectures remain cutting-edge and client-focused.…
Skills: Azure, Cloud architecture, PCI, Kubernetes, Big data",₹85T - ₹9L (Glassdoor Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
351,Boston Consulting Group,Bengaluru,Data Engineer - X Delivery,"You will collaborate closely with cross-functional teams, including data scientists, analysts, and business stakeholders, to deliver high-quality data solutions……
Skills: Microsoft Powerpoint, CI/CD, Azure, Cassandra, Kubernetes",₹5L - ₹9L (Glassdoor Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
352,ONLEI Technologies,Remote,Data Science Trainer,"As a Data Science & Analytics trainer, you will be responsible for training college students , freshers and Professionals . We are looking to hire a Data……
Skills: Data science",₹4L - ₹9L (Glassdoor Est.),"Size
201 to 500 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",5.0
353,Adobe,Noida,Computer Scientist II,"If you are applying for a role outside of your current country, ensure you review the International Resources for Relocating Employees on Inside Adobe,……
Skills: Azure, Data structures, Adobe Creative Suite, Application development, AWS",₹25L - ₹40L (Employer Est.),"Size
10000+ Employees
Founded
1982
Type
Company - Public
Industry
Computer Hardware Development
Sector
Information Technology
Revenue
$2 to $5 billion (USD)",4.2
354,Dun & Bradstreet,Mumbai,Data Science - Intern,"Demonstrated problem-solving abilities and a passion for working with big data. Perform statistical analysis, identify data anomalies, and summarize data……
Skills: Microsoft Powerpoint, Computer science, Power BI, Microsoft Excel, Big data",₹7L - ₹10L (Glassdoor Est.),"Size
5001 to 10000 Employees
Founded
1841
Type
Company - Public
Industry
Business consulting
Sector
Management and consulting
Revenue
$2 to $5 billion (USD)",3.9
355,Sagility,Bengaluru,Data Science,"Machine learning (Regression, Classification models etc) - intermediate. Computer Vision & NLP - optional but will have added advantage.…
Skills: Image processing, R, English, SQL, Machine learning",₹4L - ₹6L (Glassdoor Est.),"Size
10000+ Employees
Founded
2022
Type
Company - Private
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
Unknown / Non-Applicable",3.4
356,Boston Consulting Group,Bengaluru,"Data Analyst, Optimization, India - X Delivery","You will collaborate with case teams to gather requirements, specify, design, develop, deliver and support analytic solutions serving client needs.…
Skills: Microsoft Powerpoint, Supply chain, Spark, Alteryx, Analysis skills",₹2L - ₹5L (Glassdoor Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
